,"Selenium, Se","Choline, total",Total Sugars,Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Vitamin A, RAE","Calcium, Ca","Potassium, K","Zinc, Zn",Niacin,Pantothenic acid,Vitamin B-6,Total lipid (fat),"Carbohydrate, by difference",Protein,Cholesterol,"Fatty acids, total saturated","Fiber, total dietary","Iron, Fe","Magnesium, Mg","Phosphorus, P","Copper, Cu","Manganese, Mn",Thiamin,Riboflavin,"Folate, total",Vitamin B-12,Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid","Sodium, Na","Iodine, I",Biotin,"Molybdenum, Mo"
avocado,0.0,0.0,0.0,0.0,0.0,0.0,1.12,12.26,4.18,0.0,0.0,9.82,26.03,3.03,3.62,0.0,0.0,0.0,3.41,7.81,3.39,31.67,8.57,0.0,0.0,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottage cheese,0.0,0.0,0.0,0.0,0.17,0.0,6.79,2.64,4.13,0.86,0.0,2.74,5.41,1.67,23.2,6.0,13.0,0.0,0.0,2.19,12.32,0.0,0.0,4.35,0.0,0.0,27.58,0.0,0.0,15.22,30.47,7.6,0.0
hummus,8.55,0.0,1.24,10.27,19.0,0.11,3.62,6.64,13.09,6.38,6.92,8.59,22.82,5.45,15.56,0.0,12.8,19.64,14.11,17.86,14.48,41.89,50.43,13.33,9.77,12.0,0.0,0.0,0.0,18.52,0.0,0.0,0.0
cornmeal,28.18,3.93,1.28,2.8,0.25,0.0,0.46,6.11,16.55,22.69,8.5,17.88,4.6,27.96,16.24,0.0,2.53,26.07,19.17,30.24,19.28,21.44,21.65,32.08,15.46,6.25,0.0,0.0,0.0,1.52,0.0,0.0,0.0
corn,0.0,0.0,10.76,0.0,0.75,0.0,1.15,10.87,27.73,20.62,7.6,21.88,6.69,27.24,19.76,0.0,4.1,0.0,10.67,29.52,26.96,21.67,36.87,16.67,5.23,19.25,0.0,0.0,0.0,0.57,0.0,0.0,0.0
asparagus,4.18,2.91,3.76,7.53,34.67,4.22,1.85,4.3,4.91,6.11,5.48,5.35,0.15,1.41,4.4,0.0,0.2,7.5,11.89,3.33,4.16,21.0,6.87,11.92,10.85,13.0,0.0,0.0,6.22,0.09,0.0,0.0,0.0
cookies,5.27,1.09,90.8,0.2,0.92,0.11,0.92,0.87,1.55,11.5,5.94,0.76,3.46,30.55,8.4,0.67,3.35,5.71,8.0,1.67,2.8,6.67,8.26,15.17,10.0,16.5,0.42,0.0,0.0,1.35,0.0,0.0,0.0
apricot,0.0,0.0,0.0,0.0,0.0,0.0,0.89,4.91,1.35,0.0,0.0,0.0,0.52,3.71,1.92,0.0,0.0,5.39,0.91,2.11,1.8,6.23,2.33,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0
horseradish,5.09,1.18,15.98,0.07,1.08,0.0,4.31,5.23,7.55,2.41,1.86,4.29,0.88,4.11,2.36,0.0,0.45,11.79,2.33,6.43,2.48,6.44,5.48,0.67,1.85,14.25,0.0,0.0,27.67,18.26,0.0,0.0,0.0
arugula,0.55,2.78,4.1,2.87,90.83,13.22,12.31,7.85,4.27,1.91,8.74,4.29,0.85,1.33,5.16,0.0,0.43,5.71,8.11,11.19,4.16,8.44,13.96,3.67,6.62,24.25,0.0,0.0,16.67,1.17,0.0,0.0,0.0
honey,1.45,0.4,164.2,0.0,0.0,0.0,0.46,1.11,2.0,0.76,1.36,1.41,0.0,29.96,0.6,0.0,0.0,0.71,2.33,0.48,0.32,4.0,3.48,0.0,2.92,0.5,0.0,0.0,0.56,0.17,0.0,0.0,0.0
mustard greens,1.64,0.09,2.64,13.4,215.0,16.78,8.85,8.17,2.27,5.0,4.2,10.59,0.54,1.7,5.72,0.0,0.05,11.43,9.11,7.62,4.64,18.33,0.0,6.67,8.46,3.0,0.0,0.0,77.78,0.87,0.0,0.0,0.0
mustard,61.82,0.0,0.0,2.33,1.25,0.44,4.85,3.19,5.82,3.51,5.26,4.06,4.33,1.93,8.5,0.0,1.26,15.36,8.83,11.36,8.64,8.22,18.26,15.75,5.08,1.75,0.0,0.0,0.44,47.83,0.0,0.0,0.0
mushroom,0.69,0.0,0.0,0.0,0.0,0.0,0.03,8.0,4.53,40.0,0.0,6.18,0.58,2.46,4.36,0.0,0.0,11.21,4.11,2.5,6.87,8.11,6.78,0.66,16.0,0.0,0.0,1.85,0.0,0.04,0.0,26.9,0.0
cod,40.55,0.0,0.0,0.0,0.0,0.0,0.69,4.09,2.45,0.0,0.0,0.0,0.28,0.19,28.4,0.0,0.0,0.0,0.0,4.26,22.32,0.96,0.0,0.0,0.0,0.0,24.42,0.0,0.0,15.39,0.0,0.0,0.0
muffin,17.82,9.4,54.0,2.6,4.75,1.11,2.69,2.04,11.55,8.62,5.02,2.47,5.41,18.18,8.46,9.33,7.75,15.0,11.11,2.38,10.0,8.89,34.13,13.58,13.46,12.0,6.67,0.5,1.0,17.96,0.0,0.0,0.0
ham,36.36,12.62,0.0,1.8,0.0,0.0,0.77,6.62,17.27,26.0,3.6,15.29,26.54,0.67,32.6,23.33,35.9,0.0,4.39,3.81,12.56,8.89,1.35,59.33,14.62,0.25,39.58,3.5,0.0,53.91,0.0,0.0,0.0
molasses,32.36,2.42,149.4,0.0,0.0,0.0,15.77,31.06,2.64,5.81,16.08,39.41,0.13,27.16,0.0,0.0,0.09,0.0,26.22,57.62,2.48,54.11,66.52,3.42,0.15,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0
halibut,97.64,0.0,0.0,0.0,0.0,0.0,0.32,9.15,2.97,0.0,0.0,0.0,0.76,-0.02,38.2,0.0,0.0,0.0,0.0,5.5,17.36,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,4.7,0.0,0.0,0.0
chili,11.82,7.67,2.2,3.93,1.83,1.56,2.31,3.94,10.18,7.75,3.14,7.59,9.1,2.22,15.06,7.0,11.3,1.79,11.17,4.76,6.16,20.89,12.0,2.58,8.54,2.0,42.5,0.5,2.0,17.87,0.0,0.0,0.0
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,1.65,3.32,0.27,1.61,0.0,3.54,0.0,0.0,0.0,0.0,0.0,2.33,0.0,2.28,1.61,2.89,0.71,5.2,7.69,0.0,0.0,0.0,42.22,0.0,0.0,0.0,0.0
melon,0.73,0.0,6.72,0.0,4.08,0.0,1.0,2.98,1.27,2.88,1.4,2.94,0.26,1.48,1.68,0.0,0.0,1.07,1.17,2.38,0.72,3.89,1.57,1.67,1.38,5.0,0.0,0.0,9.0,0.48,0.0,0.0,0.0
chicken,13.45,13.02,0.0,17.87,0.0,0.0,2.69,1.15,6.36,9.06,11.58,41.18,16.28,1.32,47.2,0.0,7.65,12.86,18.17,4.05,26.8,76.56,51.3,5.17,19.0,19.0,90.83,0.0,0.0,30.83,0.0,0.0,0.0
mayonnaise,0.0,8.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,26.36,2.8,1.0,1.67,2.0,22.0,40.62,5.45,24.18,6.38,34.6,9.76,36.79,0.85,42.8,25.0,93.5,0.0,1.72,5.48,30.96,4.44,0.39,2.42,29.38,9.0,50.83,2.5,0.0,50.0,0.0,0.0,0.0
goose,123.82,0.0,0.0,0.0,0.0,1034.44,3.31,4.89,27.91,40.62,123.6,44.71,5.49,2.3,32.8,171.67,7.95,0.0,169.44,5.71,20.88,835.56,0.0,46.83,68.62,184.5,2250.0,0.0,5.0,6.09,0.0,0.0,0.0
chard,1.64,3.27,2.2,12.6,691.67,34.0,3.92,8.06,3.27,2.5,3.44,5.82,0.26,1.36,3.6,0.0,0.15,5.71,10.0,19.29,3.68,19.89,15.91,3.33,6.92,3.5,0.0,0.0,33.33,9.26,0.0,0.0,0.0
celery,0.0,0.0,0.0,0.0,0.0,0.0,3.56,5.64,0.84,0.0,0.0,3.05,0.21,1.21,0.98,0.0,0.0,0.0,0.0,2.6,1.73,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0
garlic,17.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,10.25,13.24,0.0,0.0,9.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
cauliflower,0.0,0.0,0.0,0.0,0.0,0.0,1.57,5.83,2.13,0.0,0.0,0.0,0.31,1.72,3.28,0.0,0.0,6.96,1.86,3.38,3.18,2.69,6.13,0.0,0.0,24.25,0.0,0.0,74.56,0.87,0.0,0.0,0.0
carrot,15.64,13.11,77.6,36.33,90.0,380.0,16.31,54.04,14.27,41.06,29.4,61.18,1.91,28.95,16.2,0.0,1.28,84.29,21.83,28.1,27.68,41.11,48.7,44.5,32.08,13.75,0.0,0.0,16.22,11.96,0.0,0.0,0.0
mango,3.82,4.31,132.6,26.8,11.0,7.44,0.0,5.94,2.73,12.5,0.0,19.65,1.51,28.58,4.9,0.0,1.43,8.57,1.28,4.76,4.0,33.33,434.78,5.17,6.54,17.0,0.0,0.0,47.0,7.04,0.0,0.0,0.0
capers,2.18,1.18,0.82,5.87,20.5,0.78,3.08,0.85,2.91,4.08,0.54,1.35,1.1,1.78,4.72,0.0,1.17,11.43,9.28,7.86,0.8,41.56,3.39,1.5,10.69,5.75,0.0,0.0,4.78,102.17,0.0,0.0,0.0
fat,0.36,22.18,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.95,0.0,0.0,28.33,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.91,2.82,2.12,0.73,36.33,0.56,2.54,3.21,2.0,6.88,0.0,12.53,0.64,0.87,2.2,0.0,0.34,5.71,13.89,3.33,1.92,2.67,0.0,0.83,16.15,13.0,0.0,0.0,0.0,21.65,0.0,0.0,0.0
pickles,0.0,0.56,36.6,2.4,39.25,4.22,4.69,2.13,1.09,0.72,1.02,1.41,0.53,7.71,1.16,0.0,0.34,3.57,1.39,1.67,1.44,3.11,2.83,2.08,2.31,0.25,0.0,0.0,0.78,19.87,0.0,0.0,0.0
fish,28.55,7.78,3.3,45.87,3.92,0.44,1.23,3.94,3.82,9.62,5.44,4.59,20.77,7.89,22.0,9.33,18.65,5.36,4.67,5.95,15.28,6.56,7.91,10.17,8.92,6.0,40.0,0.0,0.0,17.48,0.0,0.0,0.0
buttermilk,0.0,0.0,0.0,0.0,0.0,0.0,9.23,3.36,3.87,0.8,0.0,2.31,1.38,1.75,6.92,1.6,2.76,0.0,0.07,2.62,7.38,0.15,0.0,4.04,15.08,0.0,0.0,2.71,0.0,4.02,22.8,0.0,0.0
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.21,0.0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fennel,0.0,0.0,0.0,0.0,0.0,0.0,3.18,7.06,1.28,0.0,0.0,0.0,0.18,2.0,1.84,0.0,0.0,7.32,0.0,3.57,2.67,8.16,5.39,0.0,0.0,9.25,0.0,0.0,16.33,2.13,0.0,6.47,0.0
bulgur,1.09,1.25,0.2,0.07,0.42,0.0,0.77,1.45,5.18,6.25,6.88,4.88,0.31,6.76,6.16,0.0,0.21,16.07,5.33,7.62,3.2,8.33,26.48,4.75,2.15,4.5,0.0,0.0,0.0,0.22,0.0,0.0,0.0
lobster,114.73,0.0,0.0,0.0,0.0,0.0,5.51,4.53,14.0,0.0,0.0,0.0,0.47,0.32,26.0,0.0,0.0,0.0,0.96,9.29,14.0,27.0,2.77,0.0,0.0,0.0,41.46,0.0,0.0,22.13,0.0,0.0,0.0
lime juice,0.18,0.93,3.38,1.47,0.5,0.22,1.08,2.49,0.73,0.89,2.46,2.24,0.09,3.06,0.84,0.0,0.04,1.43,0.5,1.9,1.12,3.0,0.78,2.08,1.15,2.5,0.0,0.0,33.33,0.09,0.0,0.0,0.0
pepper,0.55,1.35,3.9,4.6,7.92,1.89,1.08,5.45,2.27,7.75,5.3,21.0,0.58,1.95,3.32,0.0,0.24,12.14,2.56,4.05,2.56,10.44,4.35,6.75,4.15,7.25,0.0,0.0,91.89,0.57,0.0,0.0,0.0
escarole,0.36,2.8,0.46,2.67,176.67,10.44,3.54,5.21,6.27,1.95,16.52,0.94,0.23,1.12,2.3,0.0,0.21,10.0,4.0,3.1,1.76,9.67,16.74,4.92,4.77,19.5,0.0,0.0,3.67,0.83,0.0,0.0,0.0
lettuce,0.0,0.0,0.0,0.0,17.08,0.0,1.09,2.96,1.57,1.36,0.0,2.36,0.09,1.23,1.48,0.0,0.0,0.0,0.18,1.5,1.54,3.71,3.55,4.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
pear,0.0,0.0,0.0,0.0,0.0,0.0,0.77,2.6,0.97,0.0,0.0,0.0,0.48,5.38,0.62,0.0,0.0,9.43,0.0,1.55,0.98,9.04,2.36,0.0,0.0,0.0,0.0,0.0,6.12,0.02,0.0,0.0,0.0
peanut butter,36.73,0.0,0.0,36.07,0.0,0.0,3.83,13.91,27.82,107.5,0.0,22.35,63.33,8.25,48.0,0.0,42.1,22.57,10.28,45.95,31.44,60.0,73.04,10.08,0.0,24.32,0.0,0.0,0.0,9.61,0.0,292.67,0.0
lemon juice,0.18,0.93,5.04,1.0,0.0,0.0,0.46,2.19,0.45,0.57,2.62,2.71,0.31,2.51,0.7,0.0,0.2,1.07,0.44,1.43,0.64,1.78,0.52,2.0,1.15,5.0,0.0,0.0,43.0,0.04,0.0,0.0,0.0
broccoli,2.91,0.0,0.0,1.0,85.0,0.89,3.54,6.45,3.82,3.99,12.2,11.24,0.44,2.28,5.14,0.0,0.19,8.57,3.83,5.0,5.36,6.56,8.57,6.42,8.77,16.25,0.0,0.0,101.44,1.57,0.0,0.0,0.0
endive,0.36,3.05,0.5,2.93,192.5,12.0,4.0,6.68,7.18,2.5,18.0,1.18,0.26,1.22,2.5,0.0,0.24,11.07,4.61,3.57,2.24,11.0,18.26,6.67,5.77,35.5,0.0,0.0,7.22,0.96,0.0,0.0,0.0
eggplant,1.09,2.16,9.6,0.2,3.08,0.33,1.92,0.26,2.09,4.12,0.0,8.24,0.9,3.55,1.8,0.0,0.7,8.93,4.28,1.43,0.72,19.22,0.0,4.17,5.38,5.0,0.0,0.0,0.0,72.61,0.0,0.0,0.0
pasta,0.0,0.0,0.0,0.0,0.0,0.0,2.18,9.09,26.82,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11,28.57,28.24,51.0,119.13,49.75,22.31,31.0,0.0,0.0,0.0,0.2,0.0,22.33,0.0
egg,300.0,230.91,1.12,25.87,1.0,33.44,18.77,11.49,28.64,2.12,111.0,29.35,56.28,0.41,96.0,543.33,75.5,0.0,40.0,8.1,50.32,22.56,2.52,15.25,152.31,29.75,123.33,41.5,0.0,20.7,0.0,0.0,0.0
bread,80.0,4.82,5.74,4.07,1.17,0.0,1.15,3.62,13.82,17.75,16.62,15.59,2.19,20.33,19.6,0.0,1.04,21.79,17.0,16.43,14.4,32.22,75.65,28.25,6.15,8.75,0.0,0.0,0.0,18.3,0.0,0.0,0.0
lamb,8.55,0.0,0.0,1.6,0.0,0.89,0.31,5.98,25.0,31.31,3.12,7.76,15.9,0.0,40.6,21.0,24.25,0.0,5.78,4.29,12.48,10.0,0.3,4.92,13.54,0.0,67.5,0.0,0.0,2.48,0.0,0.0,0.0
duck,121.82,0.0,0.0,0.0,0.0,1333.33,0.85,4.89,27.91,40.62,123.6,44.71,5.95,1.28,37.4,171.67,7.2,0.0,169.44,5.71,21.52,662.22,11.22,46.83,68.62,184.5,2250.0,0.0,5.0,6.09,0.0,0.0,0.0
parsley,0.18,2.33,1.7,5.0,1366.67,46.78,10.62,11.79,9.73,8.19,8.0,5.29,1.01,2.3,5.94,0.0,0.66,11.79,34.44,11.9,4.64,16.56,6.96,7.17,7.54,38.0,0.0,0.0,147.78,2.43,0.0,0.0,0.0
papaya,0.73,0.0,104.4,0.0,0.25,0.0,1.62,1.43,0.45,0.38,0.3,0.88,0.71,20.29,0.28,0.0,1.34,5.36,1.61,1.43,0.48,1.11,0.43,1.25,1.15,0.0,0.0,0.0,3.89,0.39,0.0,0.0,0.0
kale,1.64,0.09,1.98,4.4,325.0,26.78,19.54,7.4,3.55,7.38,7.4,8.65,1.91,1.61,5.84,0.0,0.89,14.64,8.89,7.86,4.4,5.89,40.0,9.42,26.69,15.5,0.0,0.0,103.78,2.3,0.0,0.0,0.0
pomegranate juice,0.55,0.87,25.2,2.53,8.67,0.0,0.85,4.55,0.82,1.46,5.7,2.35,0.37,4.76,0.3,0.0,0.39,0.36,0.56,1.67,0.88,2.33,4.13,1.25,1.15,6.0,0.0,0.0,0.11,0.39,0.0,0.0,0.0
pork,47.82,0.0,0.0,1.13,0.0,2.56,1.46,1.0,21.64,6.88,6.88,3.76,13.46,0.0,38.2,29.67,16.15,0.0,6.33,1.43,4.8,9.11,0.96,6.67,5.23,0.25,21.25,0.0,0.0,45.65,0.0,0.0,0.0
pumpkin,0.55,1.49,5.52,7.07,0.92,47.33,1.62,7.23,2.91,3.75,5.96,3.59,0.13,2.36,2.0,0.0,0.26,1.79,4.44,2.86,3.52,14.11,5.43,4.17,8.46,4.0,0.0,0.0,10.0,0.04,0.0,0.0,0.0
quail,39.64,11.98,0.0,4.67,3.5,7.78,1.15,4.6,28.18,49.5,0.0,36.47,18.08,0.0,50.2,28.67,19.8,0.0,24.61,5.24,22.32,65.78,0.0,18.33,23.08,1.5,15.0,1.0,2.56,2.26,0.0,0.0,0.0
quinoa,5.09,4.18,1.74,4.2,0.0,0.0,1.31,3.66,9.91,2.57,0.0,7.24,2.46,7.75,8.8,0.0,1.16,10.0,8.28,15.24,12.16,21.33,27.43,8.92,8.46,10.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0
radicchio,1.64,1.98,1.2,15.07,212.5,0.11,1.46,6.43,5.64,1.59,5.38,3.35,0.32,1.63,2.86,0.0,0.3,3.21,3.17,3.1,3.2,37.89,6.0,1.33,2.15,15.0,0.0,0.0,8.89,0.96,0.0,0.0,0.0
rhubarb,2.0,1.11,2.2,1.8,24.42,0.56,6.62,6.13,0.91,1.88,1.7,1.41,0.26,1.65,1.8,0.0,0.27,6.43,1.22,2.86,1.12,2.33,8.52,1.67,2.31,1.75,0.0,0.0,8.89,0.17,0.0,0.0,0.0
rice,0.0,0.0,0.0,0.0,0.0,0.0,1.11,5.45,15.64,51.75,0.0,11.88,4.41,28.07,15.14,0.0,0.0,14.93,6.22,26.9,24.56,23.33,170.0,26.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.27,0.0
rosemary,0.0,0.0,0.0,0.0,0.0,16.22,24.38,14.21,8.45,5.7,16.08,19.76,7.51,7.53,6.62,0.0,14.2,50.36,36.94,21.67,5.28,33.44,41.74,3.0,11.69,27.25,0.0,0.0,24.22,1.13,0.0,0.0,0.0
rutabaga,0.0,0.0,0.0,0.0,0.0,0.0,3.23,5.68,1.92,0.0,0.0,11.71,0.0,0.0,1.78,0.0,0.0,10.36,0.76,3.67,3.11,2.68,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.37,0.0
sausage,33.27,11.11,1.88,1.67,0.0,0.0,0.85,10.28,11.91,17.56,10.72,10.53,36.15,0.34,24.0,20.33,46.55,0.0,3.28,2.62,12.56,19.56,0.48,17.67,13.85,0.25,27.5,5.5,0.0,35.96,0.0,0.0,0.0
semolina,162.55,0.0,0.0,1.73,0.0,0.0,1.31,3.96,9.55,37.44,11.6,6.06,1.35,26.47,25.4,0.0,0.75,13.93,24.22,11.19,10.88,21.0,26.91,67.58,43.92,45.75,0.0,0.0,0.0,0.04,0.0,0.0,0.0
snapper,129.82,0.0,0.0,0.0,0.0,0.0,1.07,7.43,3.31,0.0,0.0,0.0,0.73,0.16,41.4,0.0,0.0,0.0,1.12,6.55,15.92,2.16,0.0,0.0,0.0,0.0,65.42,0.0,0.0,4.05,0.0,0.0,0.0
sour cream,5.64,3.49,0.44,2.0,0.42,10.0,10.85,4.51,4.55,0.44,0.0,1.18,13.59,2.58,7.0,11.67,33.0,0.0,0.39,2.38,5.68,1.78,0.0,3.33,9.23,2.75,17.5,1.0,1.0,3.61,0.0,0.0,0.0
soy sauce,1.64,5.75,11.26,0.0,0.0,0.0,0.85,65.96,2.27,2.83,2.96,2.18,0.4,5.24,16.38,0.0,0.1,1.07,2.39,8.1,7.12,5.44,6.57,2.5,3.31,1.0,0.0,0.0,0.0,125.65,0.0,0.0,0.0
spinach,0.0,0.0,0.0,0.0,0.0,31.44,5.26,12.38,4.06,3.44,0.0,11.47,0.79,0.88,5.7,0.0,0.0,5.57,7.0,22.12,3.12,9.09,21.22,6.41,14.92,29.0,0.0,0.0,29.44,4.83,0.0,5.53,0.0
squash,0.0,0.0,7.08,0.0,0.0,0.0,0.69,4.36,0.64,1.06,2.2,3.41,0.26,2.05,1.04,0.0,0.0,0.0,0.94,2.38,0.96,1.89,1.17,1.67,1.54,5.5,0.0,0.0,5.0,0.87,0.0,0.0,0.0
swordfish,110.36,0.0,0.0,0.0,0.0,0.0,0.28,8.81,4.92,0.0,0.0,0.0,10.41,0.16,38.4,0.0,0.0,0.0,0.53,6.36,18.8,2.27,0.0,0.0,0.0,0.0,36.25,0.0,0.0,2.47,0.0,0.0,0.0
tapioca,1.45,0.22,6.7,0.0,0.0,0.0,1.54,0.23,1.09,0.0,2.7,0.47,0.03,32.25,0.38,0.0,0.03,3.21,8.78,0.24,0.56,2.22,4.78,0.33,0.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
thyme,0.0,0.0,0.0,0.0,0.0,26.44,31.15,12.96,16.45,11.38,8.18,20.47,2.15,8.87,11.12,0.0,2.34,50.0,96.67,38.1,8.48,61.67,74.78,4.0,36.23,11.25,0.0,0.0,177.78,0.39,0.0,0.0,0.0
tofu,51.82,19.27,5.44,0.27,6.5,0.11,28.62,3.11,18.09,0.62,2.8,5.82,25.9,3.22,37.6,0.0,14.6,13.93,27.06,14.29,22.96,44.22,65.22,14.17,3.85,6.75,0.0,0.0,0.0,0.7,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,2.66,0.77,4.11,0.75,3.33,0.0,4.64,0.54,1.4,1.39,0.0,0.0,3.47,0.57,1.93,1.53,3.56,3.78,4.65,0.0,2.5,0.0,0.0,19.78,0.0,0.0,1.56,0.0
tortillas,67.27,3.64,4.88,6.0,3.75,0.0,18.77,5.57,17.45,30.38,0.0,18.35,12.51,16.69,19.52,0.0,24.4,35.0,14.61,20.24,27.68,29.56,0.0,68.58,22.23,34.5,0.0,0.0,0.0,26.83,0.0,0.0,0.0
tuna,139.09,0.0,0.0,0.0,0.0,0.0,0.25,8.94,3.2,0.0,0.0,0.0,0.5,-0.04,49.4,0.0,0.0,0.0,3.28,8.45,21.68,3.36,0.0,0.0,0.0,0.0,57.08,0.0,0.0,4.1,0.0,0.0,0.0
veal,23.82,17.55,0.0,3.27,1.17,0.0,0.92,4.21,22.82,34.5,13.4,26.24,16.79,0.0,37.2,16.33,25.55,0.0,7.61,7.38,15.76,9.78,0.35,9.42,21.54,0.75,95.0,6.5,0.0,4.48,0.0,0.0,0.0
vinegar,0.0,0.0,30.0,0.0,0.0,0.0,2.08,2.38,0.73,0.0,0.0,0.0,0.0,6.18,0.98,0.0,0.0,0.0,4.0,2.86,1.52,2.89,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wasabi,4.0,0.42,26.4,26.07,2.92,0.0,3.15,3.87,5.55,1.0,0.0,2.94,13.97,16.76,4.46,0.0,10.15,21.79,2.78,5.0,2.08,6.11,5.96,4.17,5.38,2.5,0.0,0.0,0.0,147.39,0.0,0.0,0.0
watercress,1.64,1.64,0.4,6.67,208.33,17.78,9.23,7.02,1.0,1.25,6.2,7.59,0.13,0.47,4.6,0.0,0.14,1.79,1.11,5.0,4.8,8.56,10.61,7.5,9.23,2.25,0.0,0.0,47.78,1.78,0.0,0.0,0.0
